Time,Category,Message,
9/28/2025 7:11:20 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess(),
9/28/2025 7:11:06 PM,Default,There was a problem subscribing to market data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:06 PM,Default,There was a problem subscribing to tick data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:06 PM,Default,There was a problem subscribing to tick data for NQ ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:06 PM,Default,There was a problem subscribing to tick data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:06 PM,Default,There was a problem subscribing to market data for YM ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:06 PM,Default,There was a problem subscribing to market data for ES ##-##: 'Symbol is inaccessible',
9/28/2025 7:11:06 PM,Connection,Time to auto close position='12:00:00 AM' Enabled=False,
9/28/2025 7:11:06 PM,Connection,Using HDS (hds-us-nt-009.ninjatrader.com/31655),
9/28/2025 7:11:06 PM,Connection,Tradeify: Primary connection=Connected Price feed=Connected,
9/28/2025 7:11:05 PM,Connection,Tradeify: Primary connection=Connecting Price feed=Connecting,
9/28/2025 7:10:57 PM,NinjaScript,Global MainThreadDispatcher UnhandledException: System.Windows.Threading.Dispatcher. Exception:    at System.Windows.Threading.Dispatcher.VerifyAccess(),
9/28/2025 7:10:57 PM,Default,Unhandled exception: The calling thread cannot access this object because a different thread owns it.,
9/28/2025 7:10:55 PM,Connection,Tradeify: Primary connection=Disconnected Price feed=Disconnected,
9/28/2025 7:10:54 PM,Connection,Tradeify: Primary connection=Disconnecting Price feed=Disconnecting,
9/28/2025 7:10:53 PM,Connection,TakeProfit: Primary connection=Disconnected Price feed=Disconnected,
9/28/2025 7:10:52 PM,Connection,TakeProfit: Primary connection=Disconnecting Price feed=Disconnecting,
9/28/2025 6:39:50 PM,Connection,Connection restored to the NinjaTrader Historical Data Server: hds-us-nt-017.ninjatrader.com,
9/28/2025 6:39:50 PM,Connection,Using HDS (hds-us-nt-017.ninjatrader.com/31655),
9/28/2025 6:39:50 PM,Connection,Connection restored to the NinjaTrader Historical Data Server: hds-us-nt-017.ninjatrader.com,
9/28/2025 6:39:49 PM,Connection,Using HDS (hds-us-nt-017.ninjatrader.com/31655),
9/28/2025 6:39:40 PM,Connection,Connection lost to the NinjaTrader Historical Data Server: hds-us-nt-008.ninjatrader.com,
9/28/2025 6:39:39 PM,Connection,Connection lost to the NinjaTrader Historical Data Server: hds-us-nt-008.ninjatrader.com,
9/28/2025 6:39:34 PM,Connection,Tradeify: Primary connection=Connected Price feed=Connected,
9/28/2025 6:39:33 PM,Connection,Tradeify: Primary connection=Connection lost Price feed=Connected,
9/28/2025 6:39:21 PM,Connection,TakeProfit: Primary connection=Connected Price feed=Connected,
9/28/2025 6:39:20 PM,Connection,TakeProfit: Primary connection=Connected Price feed=Connection lost,
9/28/2025 6:39:18 PM,Connection,TakeProfit: Primary connection=Connected Price feed=Connected,
9/28/2025 6:39:18 PM,System,NinjaTrader has detected your system has recovered from a suspended state,
9/28/2025 6:39:17 PM,Connection,TakeProfit: Primary connection=Connection lost Price feed=Connected,
9/28/2025 6:39:12 PM,Default,Unable to load server side config file: The remote name could not be resolved: 'license2.ninjatrader.com',
9/28/2025 5:30:17 PM,System,NinjaTrader has detected your system is entering a suspended state,
9/28/2025 4:37:22 PM,Connection,Connection restored to the NinjaTrader Historical Data Server: hds-us-nt-008.ninjatrader.com,
9/28/2025 4:37:21 PM,Connection,Using HDS (hds-us-nt-008.ninjatrader.com/31655),
9/28/2025 4:37:19 PM,Connection,Connection restored to the NinjaTrader Historical Data Server: hds-us-nt-008.ninjatrader.com,
9/28/2025 4:37:19 PM,Connection,Using HDS (hds-us-nt-008.ninjatrader.com/31655),
9/28/2025 4:37:11 PM,Connection,Connection lost to the NinjaTrader Historical Data Server: hds-us-nt-011.ninjatrader.com,
9/28/2025 4:37:11 PM,Connection,TakeProfit: Primary connection=Connected Price feed=Connected,
